File Name,Page Count
2023_emnlp-main_124.pdf,15
2023_emnlp-main_638.pdf,17
2024_emnlp-main_147.pdf,28
2024_emnlp-main_1025.pdf,
2024_emnlp-main_1026.pdf,16
2024_emnlp-main_1055.pdf,18
2024_emnlp-main_1067.pdf,14
2024_emnlp-main_1069.pdf,24
2024_emnlp-main_1088.pdf,15
2024_emnlp-main_1127.pdf,13
2024_emnlp-main_1156.pdf,16
PrimacyEffect.pdf,9
2024_emnlp-main_156.pdf,26
2024_emnlp-main_228.pdf,11
2024_emnlp-main_238.pdf,2
2024_emnlp-main_260.pdf,12
2024_emnlp-main_293.pdf,25
2024_emnlp-main_302.pdf,13
2024_emnlp-main_324.pdf,14
2024_emnlp-main_339.pdf,16
2024_emnlp-main_635.pdf,18
2024_emnlp-main_362.pdf,15
2024_emnlp-main_431.pdf,14
2024_emnlp-main_445.pdf,13
2024_emnlp-main_508.pdf,16
2024_emnlp-main_524.pdf,12
2024_emnlp-main_553.pdf,13
2024_emnlp-main_614.pdf,18
2024_emnlp-main_336.pdf,14
2024_emnlp-main_663.pdf,15
2024_emnlp-main_672.pdf,15
2024_emnlp-main_701.pdf,19
2024_emnlp-main_704.pdf,12
2024_emnlp-main_730.pdf,20
2024_emnlp-main_733.pdf,
2024_emnlp-main_767.pdf,14
2024_emnlp-main_773.pdf,13
2024_emnlp-main_830.pdf,8
2024_emnlp-main_831.pdf,8
2024_emnlp-main_869.pdf,8
2024_emnlp-main_888.pdf,11
2024_emnlp-main_915.pdf,16
2024_emnlp-main_924.pdf,9
2024_emnlp-main_942.pdf,10
2024_emnlp-main_991.pdf,22
2024_emnlp-main_1022.pdf,13
T5ForAfricanLanguage.pdf,16
2023_emnlp-main_118.pdf,20
EstablishingTrustworthiness.pdf,12
